"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","supervisor_district_2012","latitude","longitude","point"
"2024-02-19T20:49:00.000","2024-02-19T00:00:00.000","20:49","2024","Monday","2024-02-19T20:49:00.000","136603906362","1366039","240111322","240502898","II","Initial",,"06362","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, $50-$200","Cite or Arrest Adult","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T20:35:00.000","2024-02-19T00:00:00.000","20:35","2024","Monday","2024-02-19T20:35:00.000","136604562050","1366045","240111372","240502852","II","Initial",,"62050","Warrant","Warrant","Warrant Arrest, Enroute To Outside Jurisdiction","Cite or Arrest Adult","GILMAN AVE \ HAWES ST","20438000","Bayview","Bayview Hunters Point","10","10","37.71929931640625","-122.39002227783203","POINT (-122.39002227783203 37.71929931640625)"
"2024-02-19T20:25:00.000","2024-02-19T00:00:00.000","20:25","2024","Monday","2024-02-19T20:25:00.000","136605406361","1366054","240111253","240502823","II","Initial",,"06361","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, <$50","Cite or Arrest Adult","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T20:10:00.000","2024-02-19T00:00:00.000","20:10","2024","Monday","2024-02-19T20:20:00.000","136603406153","1366034","240111269","240502805","II","Initial",,"06153","Larceny Theft","Larceny Theft - Other","Theft, From Person, $200-$950 (other than Pickpocket)","Open or Active","MCALLISTER ST \ MARKET ST","30740000","Tenderloin","Tenderloin","6","6","37.78117752075195","-122.41169738769531","POINT (-122.41169738769531 37.78117752075195)"
"2024-02-19T20:00:00.000","2024-02-19T00:00:00.000","20:00","2024","Monday","2024-02-19T21:14:00.000","136603528160","1366035","240111350","240502956","II","Initial",,"28160","Malicious Mischief","Vandalism","Malicious Mischief, Vandalism to Vehicle","Open or Active","STOCKTON ST \ COLUMBUS AVE \ GREEN ST","25352000","Central","Chinatown","3","3","37.79948806762695","-122.40901184082031","POINT (-122.40901184082031 37.79948806762695)"
"2024-02-19T19:59:00.000","2024-02-19T00:00:00.000","19:59","2024","Monday","2024-02-19T19:59:00.000","136604604013","1366046","240065161","240502688","IS","Initial Supplement",,"04013","Assault","Aggravated Assault","Assault, Aggravated, W/ Other Weapon","Cite or Arrest Adult","03RD ST \ HOWARD ST","24590000","Southern","Financial District/South Beach","6","6","37.785030364990234","-122.40046691894531","POINT (-122.40046691894531 37.785030364990234)"
"2024-02-19T19:59:00.000","2024-02-19T00:00:00.000","19:59","2024","Monday","2024-02-19T19:59:00.000","136604628092","1366046","240065161","240502688","IS","Initial Supplement",,"28092","Malicious Mischief","Vandalism","Malicious Mischief, Adult Suspect","Cite or Arrest Adult","03RD ST \ HOWARD ST","24590000","Southern","Financial District/South Beach","6","6","37.785030364990234","-122.40046691894531","POINT (-122.40046691894531 37.785030364990234)"
"2024-02-19T19:57:00.000","2024-02-19T00:00:00.000","19:57","2024","Monday","2024-02-19T19:57:00.000","136604962050","1366049","240111219","240502752","II","Initial",,"62050","Warrant","Warrant","Warrant Arrest, Enroute To Outside Jurisdiction","Cite or Arrest Adult","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T19:57:00.000","2024-02-19T00:00:00.000","19:57","2024","Monday","2024-02-19T19:57:00.000","136604963010","1366049","240111219","240502752","II","Initial",,"63010","Warrant","Other","Warrant Arrest, Local SF Warrant","Cite or Arrest Adult","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T19:57:00.000","2024-02-19T00:00:00.000","19:57","2024","Monday","2024-02-19T19:57:00.000","136604906361","1366049","240111219","240502752","II","Initial",,"06361","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, <$50","Cite or Arrest Adult","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T19:35:00.000","2024-02-19T00:00:00.000","19:35","2024","Monday","2024-02-19T19:35:00.000","136602803074","1366028","240111178","240502694","II","Initial",,"03074","Robbery","Robbery - Other","Robbery, W/ Force","Open or Active","TAYLOR ST \ 06TH ST \ GOLDEN GATE AVE \ MARKET ST","24922000","Tenderloin","South of Market","6","6","37.782230377197266","-122.41029357910156","POINT (-122.41029357910156 37.782230377197266)"
"2024-02-19T19:35:00.000","2024-02-19T00:00:00.000","19:35","2024","Monday","2024-02-19T19:35:00.000","136603807041","1366038","240107989","240502307","VS","Vehicle Supplement",,"07041","Recovered Vehicle","Recovered Vehicle","Vehicle, Recovered, Auto","Open or Active","SUNNYDALE AVE \ REY ST","20370000","Ingleside","Visitacion Valley","10","10","37.71086502075195","-122.41228485107422","POINT (-122.41228485107422 37.71086502075195)"
"2024-02-19T19:30:00.000","2024-02-19T00:00:00.000","19:30","2024","Monday","2024-02-19T21:13:00.000","136604306241","1366043","240111344","240502954","II","Initial",,"06241","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, <$50","Open or Active","03RD ST \ FOLSOM ST","24583000","Southern","South of Market","6","6","37.78378677368164","-122.39893341064453","POINT (-122.39893341064453 37.78378677368164)"
"2024-02-19T19:30:00.000","2024-02-19T00:00:00.000","19:30","2024","Monday","2024-02-19T21:13:00.000","136604328160","1366043","240111344","240502954","II","Initial",,"28160","Malicious Mischief","Vandalism","Malicious Mischief, Vandalism to Vehicle","Open or Active","03RD ST \ FOLSOM ST","24583000","Southern","South of Market","6","6","37.78378677368164","-122.39893341064453","POINT (-122.39893341064453 37.78378677368164)"
"2024-02-19T19:19:00.000","2024-02-19T00:00:00.000","19:19","2024","Monday","2024-02-19T19:19:00.000","136604406361","1366044","240111071","240502639","II","Initial",,"06361","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, <$50","Cite or Arrest Adult","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T19:17:00.000","2024-02-19T00:00:00.000","19:17","2024","Monday","2024-02-19T19:17:00.000","136601606361","1366016","240111106","240502636","II","Initial",,"06361","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, <$50","Open or Active","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T19:09:00.000","2024-02-19T00:00:00.000","19:09","2024","Monday","2024-02-19T19:09:00.000","136601406361","1366014","240111043","240502616","II","Initial",,"06361","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, <$50","Cite or Arrest Adult","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T19:07:00.000","2024-02-19T00:00:00.000","19:07","2024","Monday","2024-02-19T19:37:00.000","136602406154","1366024","240111184","240502699","II","Initial",,"06154","Larceny Theft","Larceny Theft - Other","Theft, From Person, >$950 (other than Pickpocket)","Open or Active","04TH ST \ ELLIS ST \ MARKET ST \ STOCKTON ST","24892000","Tenderloin","South of Market","6","6","37.785743713378906","-122.40583038330078","POINT (-122.40583038330078 37.785743713378906)"
"2024-02-19T19:06:00.000","2024-02-19T00:00:00.000","19:06","2024","Monday","2024-02-19T19:06:00.000","136602771012","1366027","240109571","240502417","VS","Vehicle Supplement",,"71012","Other Offenses","Other Offenses","License Plate, Recovered","Open or Active","ARGUELLO BLVD \ CARL ST","27062000","Park","Inner Sunset","7","5","37.764808654785156","-122.45771789550781","POINT (-122.45771789550781 37.764808654785156)"
"2024-02-19T19:00:00.000","2024-02-19T00:00:00.000","19:00","2024","Monday","2024-02-19T19:00:00.000","136601068069","1366010","240105494","240480101","IS","Initial Supplement",,"68069","Traffic Collision","Traffic Collision - Hit & Run","Traffic Collision, Hit & Run, Injury","Cite or Arrest Adult","MISSION ST \ LASKIE ST","24314000","Southern","South of Market","6","6","37.77670669555664","-122.41410827636719","POINT (-122.41410827636719 37.77670669555664)"
"2024-02-19T19:00:00.000","2024-02-19T00:00:00.000","19:00","2024","Monday","2024-02-19T19:17:00.000","136602204134","1366022","240111128","240502638","II","Initial",,"04134","Assault","Simple Assault","Battery","Open or Active","24TH ST \ OSAGE ALY","24089000","Mission","Mission","9","9","37.75220489501953","-122.41901397705078","POINT (-122.41901397705078 37.75220489501953)"
